DateTime,AvgTemp
17.09.2015,29.2
18.09.2015,29.4
19.09.2015,29
20.09.2015,29.3
21.09.2015,29.5
22.09.2015,28.8
23.09.2015,29
24.09.2015,28.6
25.09.2015,28.3
26.09.2015,28.6
27.09.2015,29
28.09.2015,29.1
29.09.2015,29.4
30.09.2015,29.8
01.10.2015,28.1
02.10.2015,29.8
03.10.2015,29.6
04.10.2015,30
05.10.2015,29.9
06.10.2015,29.2
07.10.2015,29.7
08.10.2015,29.3
09.10.2015,29.6
10.10.2015,29.8
11.10.2015,29.6
12.10.2015,29.7
13.10.2015,30.1
14.10.2015,30.1
15.10.2015,30
16.10.2015,29.9
17.10.2015,30
18.10.2015,28
19.10.2015,30.3
20.10.2015,30.3
21.10.2015,30.3
22.10.2015,29.9
23.10.2015,29.5
24.10.2015,29.7
25.10.2015,30.1
26.10.2015,30.7
27.10.2015,30.7
28.10.2015,31.1
29.10.2015,31
30.10.2015,31
31.10.2015,31.1
01.11.2015,31
02.11.2015,30.9
03.11.2015,31.2
04.11.2015,30.7
05.11.2015,30.9
06.11.2015,30.2
07.11.2015,31.4
08.11.2015,30.7
09.11.2015,30.9
10.11.2015,29.5
11.11.2015,29.6
12.11.2015,30.5
13.11.2015,31.2
14.11.2015,31.4
15.11.2015,31.1
16.11.2015,31.6
17.11.2015,31.6
18.11.2015,31.5
19.11.2015,31.9
20.11.2015,31.8
21.11.2015,31.9
22.11.2015,32
23.11.2015,32.7
24.11.2015,30.8
25.11.2015,30.7
26.11.2015,30.1
27.11.2015,29.9
28.11.2015,29.6
29.11.2015,30.8
30.11.2015,31.2
01.12.2015,31.5
02.12.2015,31.2
03.12.2015,29.5
04.12.2015,29.7
05.12.2015,30.6
06.12.2015,27.4
07.12.2015,29.6
08.12.2015,30.2
09.12.2015,29.9
10.12.2015,31.3
11.12.2015,30.5
12.12.2015,30
13.12.2015,30.5
14.12.2015,27.3
15.12.2015,30
16.12.2015,29.1
17.12.2015,28.4
18.12.2015,28.9
19.12.2015,28.8
20.12.2015,29.9
21.12.2015,29.3
22.12.2015,29.6
23.12.2015,30.1
24.12.2015,30.1
25.12.2015,30.2
26.12.2015,30.3
27.12.2015,29.8
28.12.2015,29.5
29.12.2015,29.1
30.12.2015,28.7
31.12.2015,29.2
01.01.2016,28.9
02.01.2016,30
03.01.2016,29.6
04.01.2016,29.1
05.01.2016,28.9
06.01.2016,30.1
07.01.2016,30.7
08.01.2016,30.9
09.01.2016,30.4
10.01.2016,30.2
11.01.2016,29.1
12.01.2016,29.9
13.01.2016,30.7
14.01.2016,31
15.01.2016,30.9
16.01.2016,31.8
17.01.2016,30.7
18.01.2016,30.3
19.01.2016,31.3
20.01.2016,28.8
21.01.2016,28.8
22.01.2016,28.9
23.01.2016,27.9
24.01.2016,27.2
25.01.2016,28.7
26.01.2016,28.2
27.01.2016,28
28.01.2016,28.9
29.01.2016,31.1
30.01.2016,29
31.01.2016,29.1
01.02.2016,27.9
02.02.2016,28.7
03.02.2016,29.4
04.02.2016,30
05.02.2016,28.6
06.02.2016,29
07.02.2016,27.5
08.02.2016,28.3
09.02.2016,28.3
10.02.2016,27.2
11.02.2016,27.8
12.02.2016,27.3
13.02.2016,29.4
14.02.2016,29.9
15.02.2016,28
16.02.2016,29
17.02.2016,30.3
18.02.2016,29.4
19.02.2016,29.9
20.02.2016,30.3
21.02.2016,28.3
22.02.2016,29.3
23.02.2016,29.2
24.02.2016,28.7
25.02.2016,28.5
26.02.2016,27.7
27.02.2016,28
28.02.2016,28.7
29.02.2016,29
01.03.2016,28.2
02.03.2016,28.7
03.03.2016,28.6
04.03.2016,29
05.03.2016,28.6
06.03.2016,29.3
07.03.2016,29.3
08.03.2016,30.6
09.03.2016,30.6
10.03.2016,31
11.03.2016,30.5
12.03.2016,30.3
13.03.2016,30.5
14.03.2016,30.4
15.03.2016,30.6
16.03.2016,30.2
17.03.2016,30.9
18.03.2016,29.9
19.03.2016,29.4
20.03.2016,30.4
21.03.2016,30.7
22.03.2016,30.9
23.03.2016,30.3
24.03.2016,29.9
25.03.2016,30.3
26.03.2016,30.2
27.03.2016,30
28.03.2016,30.7
29.03.2016,29.6
30.03.2016,28.4
31.03.2016,27.9
01.04.2016,28.2
02.04.2016,29.5
03.04.2016,29.6
04.04.2016,30.9
05.04.2016,30.6
06.04.2016,30.1
07.04.2016,29.8
08.04.2016,30.2
09.04.2016,28.3
10.04.2016,28.6
11.04.2016,29.3
12.04.2016,29
13.04.2016,29.1
14.04.2016,29.4
15.04.2016,26.5
16.04.2016,28.8
17.04.2016,28.7
18.04.2016,29.2
19.04.2016,29.4
20.04.2016,30.2
21.04.2016,29.7
22.04.2016,28.7
23.04.2016,29.5
24.04.2016,30.4
25.04.2016,30.7
26.04.2016,27.9
27.04.2016,29.5
28.04.2016,29.7
29.04.2016,30.7
30.04.2016,30.4
01.05.2016,30.2
02.05.2016,29.9
03.05.2016,30.3
04.05.2016,30.2
05.05.2016,31.1
06.05.2016,30.3
07.05.2016,30.7
08.05.2016,30.1
09.05.2016,31
10.05.2016,30.5
11.05.2016,30.3
12.05.2016,29.9
13.05.2016,30.5
14.05.2016,31
15.05.2016,30.7
16.05.2016,30.8
17.05.2016,30
18.05.2016,30.7
19.05.2016,30.5
20.05.2016,30.1
21.05.2016,29.9
22.05.2016,28.9
23.05.2016,30.2
24.05.2016,29.8
25.05.2016,28.4
26.05.2016,30
27.05.2016,28.8
28.05.2016,28.8
29.05.2016,29.8
30.05.2016,26.6
31.05.2016,27.9
01.06.2016,29.4
02.06.2016,29.4
03.06.2016,30.5
04.06.2016,29.8
05.06.2016,29.6
06.06.2016,30
07.06.2016,29.6
08.06.2016,29.7
09.06.2016,29.8
10.06.2016,30.2
11.06.2016,30.4
12.06.2016,30.1
13.06.2016,30.2
14.06.2016,27.8
15.06.2016,27.7
16.06.2016,29.6
17.06.2016,29.8
18.06.2016,29
19.06.2016,25.8
20.06.2016,27.7
21.06.2016,28.9
22.06.2016,29.5
23.06.2016,29.5
24.06.2016,28.8
25.06.2016,29.3
26.06.2016,29.4
27.06.2016,29
28.06.2016,27.5
29.06.2016,28
30.06.2016,26.8
01.07.2016,28.4
02.07.2016,28.8
03.07.2016,29.5
04.07.2016,29.6
05.07.2016,29.8
06.07.2016,29.4
07.07.2016,29.4
08.07.2016,29
09.07.2016,29.8
10.07.2016,30
11.07.2016,29.8
12.07.2016,29.7
13.07.2016,28.8
14.07.2016,29.7
15.07.2016,28.9
16.07.2016,26.8
17.07.2016,28.8
18.07.2016,28
19.07.2016,28.4
20.07.2016,26.9
21.07.2016,26.7
22.07.2016,29
23.07.2016,28.4
24.07.2016,28.1
25.07.2016,28.8
26.07.2016,28.6
27.07.2016,28.6
28.07.2016,29.3
29.07.2016,29.6
30.07.2016,29.2
31.07.2016,29.1
01.08.2016,29.1
02.08.2016,28.5
03.08.2016,28.5
04.08.2016,28.7
05.08.2016,29.7
06.08.2016,29.4
07.08.2016,29.1
08.08.2016,30
09.08.2016,29.8
10.08.2016,29.6
11.08.2016,29.4
12.08.2016,29.6
13.08.2016,27.8
14.08.2016,28.1
15.08.2016,29.1
16.08.2016,28.9
17.08.2016,29.7
18.08.2016,29
19.08.2016,28.8
20.08.2016,28.6
21.08.2016,28.1
22.08.2016,28.6
23.08.2016,29.1
24.08.2016,28.4
25.08.2016,29.4
26.08.2016,29.2
27.08.2016,30.1
28.08.2016,30
29.08.2016,30.6
30.08.2016,30
31.08.2016,30.2
01.09.2016,30.2
02.09.2016,30.4
03.09.2016,29.7
04.09.2016,29.5
05.09.2016,30.2
06.09.2016,30.1
07.09.2016,30
08.09.2016,30.6
09.09.2016,30.4
10.09.2016,29.7
11.09.2016,29.5
12.09.2016,29.4
13.09.2016,29.3
14.09.2016,30
15.09.2016,30.5
16.09.2016,30.7
17.09.2016,29.8
18.09.2016,29.9
19.09.2016,30.4
20.09.2016,29.4
21.09.2016,28.8
22.09.2016,29.1
23.09.2016,29.4
24.09.2016,27.1
25.09.2016,28.5
26.09.2016,28.3
27.09.2016,29.1
28.09.2016,29.2
29.09.2016,28.2
30.09.2016,30.1
01.10.2016,30.9
02.10.2016,28.9
03.10.2016,29.3
04.10.2016,28.4
05.10.2016,30.1
06.10.2016,30.1
07.10.2016,30.2
08.10.2016,27.6
09.10.2016,26.6
10.10.2016,27.1
11.10.2016,29.1
12.10.2016,28.8
13.10.2016,27.4
14.10.2016,29.6
15.10.2016,30.1
16.10.2016,30.2
17.10.2016,30.7
18.10.2016,30
19.10.2016,31.2
20.10.2016,31.5
21.10.2016,28.2
22.10.2016,27.7
23.10.2016,26.1
24.10.2016,27.6
25.10.2016,29.2
26.10.2016,29.2
27.10.2016,28.7
28.10.2016,28.5
29.10.2016,29.7
30.10.2016,30
31.10.2016,30.1
01.11.2016,30.2
02.11.2016,30.3
03.11.2016,30.7
04.11.2016,31
05.11.2016,30.8
06.11.2016,31
07.11.2016,29.9
08.11.2016,29.7
09.11.2016,27.2
10.11.2016,28.4
11.11.2016,,28.1
12.11.2016,28.1
13.11.2016,29
14.11.2016,29.3
15.11.2016,28.1
16.11.2016,28.6
17.11.2016,27.4
18.11.2016,29.8
19.11.2016,30.6
20.11.2016,31.3
21.11.2016,29.7
22.11.2016,29.5
23.11.2016,29.4
24.11.2016,28.7
25.11.2016,27.8
26.11.2016,29
27.11.2016,28.9
28.11.2016,28.8
29.11.2016,29.6
30.11.2016,28.2
01.12.2016,28.2
02.12.2016,27.7
03.12.2016,27.5
04.12.2016,28.3
05.12.2016,28.4
06.12.2016,28.2
07.12.2016,28.2
08.12.2016,29
09.12.2016,28.6
10.12.2016,28.4
11.12.2016,29.6
12.12.2016,27.9
13.12.2016,28
14.12.2016,28.2
15.12.2016,28
16.12.2016,28.8
17.12.2016,28.7
18.12.2016,28.6
19.12.2016,28.4
20.12.2016,29.7
21.12.2016,29.6
22.12.2016,29.1
23.12.2016,29.6
24.12.2016,30.3
25.12.2016,30.3
26.12.2016,30.3
27.12.2016,29.2
28.12.2016,29.3
29.12.2016,30.2
30.12.2016,26.6
31.12.2016,27.3
01.01.2017,28.6
02.01.2017,27.5
03.01.2017,29
04.01.2017,28.7
05.01.2017,28
06.01.2017,28.3
07.01.2017,26.9
08.01.2017,28.7
09.01.2017,29.1
10.01.2017,28.4
11.01.2017,27.8
12.01.2017,27.9
13.01.2017,28.2
14.01.2017,28.6
15.01.2017,28.7
16.01.2017,28.9
17.01.2017,29.5
18.01.2017,28.8
19.01.2017,26.9
20.01.2017,26.9
21.01.2017,28
22.01.2017,28.2
23.01.2017,27.6
24.01.2017,28.7
25.01.2017,27.7
26.01.2017,28.1
27.01.2017,28.4
28.01.2017,28.7
29.01.2017,28.8
30.01.2017,28.9
31.01.2017,27.3
01.02.2017,27.3
02.02.2017,27
03.02.2017,27
04.02.2017,28.3
05.02.2017,28.8
06.02.2017,29.2
07.02.2017,28.2
08.02.2017,26.8
09.02.2017,27.8
10.02.2017,27.7
11.02.2017,27.7
12.02.2017,27.4
13.02.2017,28.3
14.02.2017,28.3
15.02.2017,26.8
16.02.2017,27.7
17.02.2017,28.9
18.02.2017,28.5
19.02.2017,29.5
20.02.2017,29
21.02.2017,27.9
22.02.2017,28.2
23.02.2017,29.6
24.02.2017,29.4
25.02.2017,28.3
26.02.2017,28.9
27.02.2017,29.3
28.02.2017,29.1
01.03.2017,29.3
02.03.2017,29.1
03.03.2017,29.4
04.03.2017,28.9
05.03.2017,29.5
06.03.2017,29.7
07.03.2017,29.3
08.03.2017,29.5
09.03.2017,29.9
10.03.2017,29.7
11.03.2017,28.5
12.03.2017,28.4
13.03.2017,27.2
14.03.2017,27.6
15.03.2017,28.6
16.03.2017,28.5
17.03.2017,28.9
18.03.2017,27.4
19.03.2017,29
20.03.2017,28.5
21.03.2017,28.3
22.03.2017,28.9
23.03.2017,28.8
24.03.2017,29.7
25.03.2017,29.5
26.03.2017,26.8
27.03.2017,27.9
28.03.2017,27.9
29.03.2017,29.2
30.03.2017,29
31.03.2017,28.2
01.04.2017,28.5
02.04.2017,28.8
03.04.2017,29.1
04.04.2017,28.6
05.04.2017,28.9
06.04.2017,28.1
07.04.2017,28.1
08.04.2017,27
09.04.2017,28.9
10.04.2017,29.7
11.04.2017,30.2
12.04.2017,30
13.04.2017,29.7
14.04.2017,27.9
15.04.2017,28.9
16.04.2017,29.7
17.04.2017,29.4
18.04.2017,29.2
19.04.2017,29
20.04.2017,29.5
21.04.2017,29.3
22.04.2017,28.2
23.04.2017,29.2
24.04.2017,29.8
25.04.2017,28.8
26.04.2017,29.5
27.04.2017,29.5
28.04.2017,29.5
29.04.2017,29
30.04.2017,29.2
