DateTime,AvgTemp
22-10-2020,30.2
23-10-2020,30.4
24-10-2020,30.2
25-10-2020,30.4
26-10-2020,29.5
27-10-2020,29
28-10-2020,29.8
29-10-2020,29.8
30-10-2020,27
31-10-2020,26.8
01-11-2020,28
02-11-2020,28.2
03-11-2020,28.3
04-11-2020,28.3
05-11-2020,30
06-11-2020,30.2
07-11-2020,30.6
08-11-2020,30.5
09-11-2020,30.2
10-11-2020,30.9
11-11-2020,30.1
12-11-2020,31.1
13-11-2020,31.7
14-11-2020,31
15-11-2020,28.8
16-11-2020,30.5
17-11-2020,31.6
18-11-2020,31.3
19-11-2020,31.2
20-11-2020,29.9
21-11-2020,31.1
22-11-2020,29.5
23-11-2020,28.9
24-11-2020,28.1
25-11-2020,29.7
26-11-2020,28.9
27-11-2020,28.7
28-11-2020,28.4
29-11-2020,27.4
30-11-2020,27.2
01-12-2020,28.9
02-12-2020,28.4
03-12-2020,29
04-12-2020,28.7
05-12-2020,28.1
06-12-2020,27.8
07-12-2020,26.3
08-12-2020,28.4
09-12-2020,26.5
10-12-2020,27.2
11-12-2020,27.1
12-12-2020,26.8
13-12-2020,27.8
14-12-2020,26.9
15-12-2020,27.5
16-12-2020,27.3
17-12-2020,27.8
18-12-2020,27.7
19-12-2020,28.5
20-12-2020,29.6
21-12-2020,29.3
22-12-2020,29.7
23-12-2020,29.5
24-12-2020,28.9
25-12-2020,28
26-12-2020,29
27-12-2020,29.1
28-12-2020,28.4
29-12-2020,28.5
30-12-2020,26.7
31-12-2020,28.1
01-01-2021,28.4
02-01-2021,27.7
03-01-2021,27.8
04-01-2021,28.4
05-01-2021,27
06-01-2021,28.7
07-01-2021,27.4
08-01-2021,28.3
09-01-2021,29.2
10-01-2021,27.2
11-01-2021,27.8
12-01-2021,28.8
13-01-2021,27.4
14-01-2021,28.7
15-01-2021,28.7
16-01-2021,28.3
17-01-2021,28.6
18-01-2021,26.6
19-01-2021,27
20-01-2021,27.6
21-01-2021,28.6
22-01-2021,27.7
23-01-2021,28.9
24-01-2021,27.7
25-01-2021,26.7
26-01-2021,27.6
27-01-2021,27.8
28-01-2021,28.1
29-01-2021,27.9
30-01-2021,26.6
